,Ensembl.ID,HGNC.ID,HGNC.symbol,Mut.Freq,RelEffect,AbsEffect,p
846,ENSG00000169429,HGNC:6025,CXCL8,2,0.659840071,199.3451619,0.02
847,ENSG00000159202,HGNC:25847,UBE2Z,2,0.654582929,3859.285662,0.005
848,ENSG00000066027,HGNC:9309,PPP2R5A,2,0.650417715,2376.369476,0.005235602
849,ENSG00000103479,HGNC:9894,RBL2,2,0.640958283,1680.438007,0.005
850,ENSG00000187514,HGNC:9623,PTMA,2,0.635804656,17010.24265,0.02
851,ENSG00000058404,HGNC:1461,CAMK2B,2,0.614563534,204.2591881,0.005
852,ENSG00000169297,HGNC:7960,NR0B1,2,0.598931873,6.689832559,0.01
853,ENSG00000175220,HGNC:673,ARHGAP1,2,0.532169509,4093.873516,0.005154639
854,ENSG00000274211,HGNC:29846,SOCS7,2,0.530487148,728.0864522,0.015
855,ENSG00000030582,HGNC:4601,GRN,2,0.499579498,10440.87659,0.036082474
856,ENSG00000115738,HGNC:5361,ID2,2,0.457917349,1345.634563,0.005235602
857,ENSG00000061273,HGNC:14067,HDAC7,2,0.450263876,1847.404332,0.005
858,ENSG00000012983,HGNC:6867,MAP4K5,2,0.426442348,869.7418993,0.005
859,ENSG00000110321,HGNC:3297,EIF4G2,2,0.424913701,16013.35027,0.005
860,ENSG00000198517,HGNC:6782,MAFK,2,0.422787518,500.5396174,0.010471204
861,ENSG00000184110,HGNC:3279,EIF3C,2,0.403981076,129.5652909,0.010309278
862,ENSG00000004478,HGNC:3720,FKBP4,2,0.403105076,7267.898972,0.020304569
863,ENSG00000197045,HGNC:4373,GMFB,2,0.400449737,1198.282355,0.005
864,ENSG00000143761,HGNC:652,ARF1,2,0.36917863,11528.18271,0.005
865,ENSG00000101421,HGNC:16171,CHMP4B,2,0.355935135,3330.222438,0.005
866,ENSG00000108599,HGNC:368,AKAP10,2,0.342490399,437.5948306,0.005235602
867,ENSG00000104823,HGNC:3149,ECH1,2,0.338018432,1597.217104,0.005
868,ENSG00000179776,HGNC:1764,CDH5,2,0.332814682,730.767043,0.01
869,ENSG00000143384,HGNC:6943,MCL1,2,0.328542667,7328.537236,0.005
870,ENSG00000155508,HGNC:9207,CNOT8,2,0.316007161,1054.514811,0.005181347
871,ENSG00000184203,HGNC:9288,PPP1R2,2,0.31208363,903.2050484,0.005
872,ENSG00000113575,HGNC:9299,PPP2CA,2,0.290296965,2103.828417,0.015
873,ENSG00000087074,HGNC:14375,PPP1R15A,2,0.287119728,774.4454189,0.005
874,ENSG00000152944,HGNC:11473,MED21,2,0.285891742,373.6958061,0.03
875,ENSG00000156052,HGNC:4390,GNAQ,2,0.270020387,1183.19054,0.005235602
876,ENSG00000185129,HGNC:9701,PURA,2,0.256982931,656.2290903,0.010471204
877,ENSG00000078369,HGNC:4396,GNB1,2,0.255345943,5695.318076,0.005235602
878,ENSG00000141905,HGNC:7786,NFIC,2,0.244374422,2570.285049,0.045
879,ENSG00000074319,HGNC:15971,TSG101,2,0.240431942,851.2088856,0.005
880,ENSG00000085365,HGNC:10563,SCAMP1,2,0.202076418,1009.488803,0.03
881,ENSG00000169136,HGNC:790,ATF5,2,0.194112127,511.636993,0.015
882,ENSG00000114738,HGNC:6888,MAPKAPK3,2,0.193637086,475.7788196,0.025
883,ENSG00000100461,HGNC:20155,RBM23,2,0.155121264,663.699779,0.025
884,ENSG00000100603,HGNC:16696,SNW1,2,0.154743114,600.9039244,0.04
885,ENSG00000115561,HGNC:29865,CHMP3,2,0.141120278,709.5896889,0.035
886,ENSG00000007168,HGNC:8574,PAFAH1B1,2,0.114843413,760.2550132,0.02
887,ENSG00000163882,HGNC:9195,POLR2H,2,-0.129862534,-459.0822073,0.005
888,ENSG00000176896,HGNC:28277,TCEANC,2,-0.153843113,-53.15051681,0.005
889,ENSG00000134001,HGNC:3265,EIF2S1,2,-0.184203287,-1495.797442,0.015
890,ENSG00000163902,HGNC:10381,RPN1,2,-0.223079436,-6590.692748,0.015
891,ENSG00000105700,HGNC:28420,KXD1,2,-0.232668266,-1058.512152,0.005
892,ENSG00000159840,HGNC:13200,ZYX,2,-0.237516647,-5151.867776,0.015463918
893,ENSG00000154727,HGNC:4071,GABPA,2,-0.238521405,-850.8871886,0.005
894,ENSG00000103168,HGNC:11534,TAF1C,2,-0.26872868,-686.9375414,0.015
895,ENSG00000006451,HGNC:9839,RALA,2,-0.273099371,-1706.555566,0.015
896,ENSG00000136560,HGNC:11562,TANK,2,-0.281305938,-1373.932236,0.005
897,ENSG00000112531,HGNC:21100,QKI,2,-0.282315646,-2666.658767,0.015
898,ENSG00000165030,HGNC:7787,NFIL3,2,-0.293796037,-608.3220191,0.005
899,ENSG00000156603,HGNC:29600,MED19,2,-0.299827753,-397.7435684,0.02
900,ENSG00000092208,HGNC:10884,GEMIN2,2,-0.31089038,-222.7166955,0.015
901,ENSG00000076984,HGNC:6847,MAP2K7,2,-0.349027776,-1736.778274,0.025
902,ENSG00000197265,HGNC:4651,GTF2E2,2,-0.367480875,-994.4026449,0.005235602
903,ENSG00000133997,HGNC:19970,MED6,2,-0.372767192,-915.6233251,0.015
904,ENSG00000077348,HGNC:24662,EXOSC5,2,-0.373212621,-772.6999363,0.015
905,ENSG00000196591,HGNC:4853,HDAC2,2,-0.375388533,-4072.644006,0.025
906,ENSG00000070770,HGNC:2459,CSNK2A2,2,-0.3866223,-2153.172491,0.02
907,ENSG00000221823,HGNC:9317,PPP3R1,2,-0.386854376,-2942.748473,0.005
908,ENSG00000025156,HGNC:5225,HSF2,2,-0.414549324,-668.2832494,0.005
909,ENSG00000110711,HGNC:358,AIP,2,-0.429084324,-2757.650036,0.005
910,ENSG00000115041,HGNC:15523,KCNIP3,2,-0.441091664,-282.0578925,0.005
911,ENSG00000214078,HGNC:2314,CPNE1,2,-0.460324267,-6244.92455,0.005
912,ENSG00000170035,HGNC:12479,UBE2E3,2,-0.468287292,-1996.952012,0.005235602
913,ENSG00000141985,HGNC:10830,SH3GL1,2,-0.492894962,-5455.845481,0.005
914,ENSG00000137193,HGNC:8986,PIM1,2,-0.514190456,-2190.05058,0.005
915,ENSG00000183386,HGNC:3704,FHL3,2,-0.519532731,-2163.484424,0.03
916,ENSG00000172466,HGNC:13032,ZNF24,2,-0.52265122,-8956.555871,0.005076142
917,ENSG00000166949,HGNC:6769,SMAD3,2,-0.533371538,-4509.151855,0.005
918,ENSG00000204632,HGNC:4964,HLA-G,2,-0.555369448,-344.2986362,0.015706806
919,ENSG00000260027,HGNC:5118,HOXB7,2,-0.566269073,-738.4811264,0.035
920,ENSG00000173726,HGNC:20947,TOMM20,2,-0.568599734,-27770.05462,0.005
921,ENSG00000108700,HGNC:10635,CCL8,2,-0.570145363,-334.9407257,0.005
922,ENSG00000204531,HGNC:9221,POU5F1,2,-0.581868641,-76.38671516,0.005
923,ENSG00000112559,HGNC:6967,MDFI,2,-0.62475713,-4531.148405,0.015706806
924,ENSG00000166592,HGNC:10446,RRAD,2,-0.628618378,-300.8472309,0.036082474
925,ENSG00000007968,HGNC:3114,E2F2,2,-0.646049093,-1164.245969,0.01
926,ENSG00000253293,HGNC:5100,HOXA10,2,-0.696124319,-521.0832231,0.005
927,ENSG00000101400,HGNC:11167,SNTA1,2,-0.738201155,-3436.340737,0.041884817
928,ENSG00000183072,HGNC:2488,NKX2-5,2,-0.912942449,-766.1996099,0.01
929,ENSG00000151090,HGNC:11799,THRB,2,-1.886286457,2961.829031,0.025
930,ENSG00000150594,HGNC:281,ADRA2A,2,-2.053752144,2735.893731,0.005
931,ENSG00000113494,HGNC:9446,PRLR,2,-6.726077925,15614.35064,0.005
932,ENSG00000141293,HGNC:15605,SKAP1,2,-16.93876292,1096.449048,0.005025126
933,ENSG00000124249,HGNC:13814,KCNK15,2,-20.81367423,1451.924185,0.005347594
934,ENSG00000134107,HGNC:1046,BHLHE40,2,-58.01670546,31623.55598,0.020942408
935,ENSG00000120094,HGNC:5111,HOXB1,2,-6057.498834,14.72933922,0.005235602
936,ENSG00000133636,HGNC:8038,NTS,1,614.7496779,1565.482914,0.005
937,ENSG00000139352,HGNC:738,ASCL1,1,49.11323331,346.6578589,0.005235602
938,ENSG00000136574,HGNC:4173,GATA4,1,30.24729631,88.36376331,0.005
939,ENSG00000006128,HGNC:11517,TAC1,1,25.30908156,41.38361266,0.005235602
940,ENSG00000114812,HGNC:12694,VIPR1,1,19.62210185,975.5049448,0.005
941,ENSG00000198681,HGNC:6796,MAGEA1,1,13.84362976,126.1935935,0.005235602
942,ENSG00000113739,HGNC:11374,STC2,1,12.02280306,32439.46372,0.005
943,ENSG00000122585,HGNC:7955,NPY,1,8.371964364,36.93736656,0.005
944,ENSG00000110092,HGNC:1582,CCND1,1,8.343143984,35222.07958,0.005235602
945,ENSG00000183625,HGNC:1604,CCR3,1,7.278429421,13.75183557,0.005
946,ENSG00000114737,HGNC:1984,CISH,1,5.464566635,3090.851579,0.005
947,ENSG00000160113,HGNC:7977,NR2F6,1,4.895680224,4559.703487,0.03
948,ENSG00000129993,HGNC:1537,CBFA2T3,1,4.849608743,989.7639219,0.005235602
