,Ensembl.ID,HGNC.ID,HGNC.symbol,Mut.Freq,RelEffect,AbsEffect,p
657,ENSG00000198963,HGNC:10259,RORB,4,34.05684529,124.6973218,0.005025126
658,ENSG00000163631,HGNC:399,ALB,4,28.65902565,4438.892736,0.005
659,ENSG00000125798,HGNC:5022,FOXA2,4,28.32297968,9.322781469,0.005
660,ENSG00000133101,HGNC:1577,CCNA1,4,14.47502709,80.08954391,0.005
661,ENSG00000139626,HGNC:6162,ITGB7,4,7.080809757,192.2717777,0.005154639
662,ENSG00000100385,HGNC:6009,IL2RB,4,6.389267963,1285.449673,0.005
663,ENSG00000107295,HGNC:10831,SH3GL2,4,6.376630504,42.1004999,0.005
664,ENSG00000157227,HGNC:7160,MMP14,4,5.88320398,24887.98063,0.020942408
665,ENSG00000176697,HGNC:1033,BDNF,4,5.562144836,50.40390811,0.005
666,ENSG00000104368,HGNC:9051,PLAT,4,4.864059884,8389.200838,0.005
667,ENSG00000269404,HGNC:11242,SPIB,4,4.03466572,300.6279761,0.005
668,ENSG00000186081,HGNC:6442,KRT5,4,3.803237184,13146.90497,0.005208333
669,ENSG00000140968,HGNC:5358,IRF8,4,3.556949161,1031.695091,0.005
670,ENSG00000197641,HGNC:8944,SERPINB13,4,3.554547549,31.02219791,0.005
671,ENSG00000169047,HGNC:6125,IRS1,4,3.482267814,3500.305948,0.005
672,ENSG00000184672,HGNC:27036,RALYL,4,3.425669548,22.38929166,0.015
673,ENSG00000136158,HGNC:11270,SPRY2,4,2.628663943,603.3516447,0.005
674,ENSG00000125378,HGNC:1071,BMP4,4,2.501735521,611.8912184,0.005
675,ENSG00000118523,HGNC:2500,CCN2,4,2.44266478,17263.29502,0.005235602
676,ENSG00000180530,HGNC:8001,NRIP1,4,2.350818291,4594.570816,0.005235602
677,ENSG00000135046,HGNC:533,ANXA1,4,2.305506663,8693.560472,0.005154639
678,ENSG00000110448,HGNC:1685,CD5,4,2.250512702,366.3824942,0.005
679,ENSG00000196353,HGNC:2317,CPNE4,4,2.224342172,46.36371114,0.010638298
680,ENSG00000143333,HGNC:9997,RGS16,4,2.163217013,1539.221559,0.015706806
681,ENSG00000182578,HGNC:2433,CSF1R,4,2.02445723,2654.385671,0.005
682,ENSG00000090061,HGNC:1596,CCNK,4,1.926808779,432.7622608,0.005154639
683,ENSG00000123700,HGNC:6263,KCNJ2,4,1.853902887,228.4557743,0.005
684,ENSG00000002834,HGNC:6513,LASP1,4,1.827267163,16769.92906,0.005154639
685,ENSG00000175445,HGNC:6677,LPL,4,1.794771536,1552.592919,0.031413613
686,ENSG00000196405,HGNC:20234,EVL,4,1.762189303,11129.26788,0.005
687,ENSG00000185551,HGNC:7976,NR2F2,4,1.7616739,4191.508457,0.005
688,ENSG00000028137,HGNC:11917,TNFRSF1B,4,1.488893895,1571.135466,0.005
689,ENSG00000153563,HGNC:1706,CD8A,4,1.485103815,510.7387861,0.005
690,ENSG00000176165,HGNC:3811,FOXG1,4,1.482041373,9.599255565,0.005
691,ENSG00000149968,HGNC:7173,MMP3,4,1.435035229,545.5823321,0.005181347
692,ENSG00000125686,HGNC:9234,MED1,4,1.360489781,2914.813117,0.005154639
693,ENSG00000137285,HGNC:30829,TUBB2B,4,1.293861936,206.094146,0.005181347
694,ENSG00000142627,HGNC:3386,EPHA2,4,1.26680671,585.834226,0.02
695,ENSG00000123358,HGNC:7980,NR4A1,4,1.234250446,2679.523245,0.005
696,ENSG00000090339,HGNC:5344,ICAM1,4,1.209690536,1704.822513,0.01
697,ENSG00000107882,HGNC:16466,SUFU,4,1.179656086,1034.875641,0.005
698,ENSG00000113916,HGNC:1001,BCL6,4,1.17151444,2070.520782,0.025
699,ENSG00000174125,HGNC:11847,TLR1,4,1.103100785,433.5134121,0.005
700,ENSG00000198728,HGNC:6532,LDB1,4,1.060339953,2266.3557,0.005
701,ENSG00000126934,HGNC:6842,MAP2K2,4,1.052703016,2882.322319,0.045
702,ENSG00000135596,HGNC:20619,MICAL1,4,1.042002391,1196.139912,0.01
703,ENSG00000198909,HGNC:6855,MAP3K3,4,1.01179995,1183.079457,0.005
704,ENSG00000167552,HGNC:20766,TUBA1A,4,1.00398712,6937.065031,0.005235602
705,ENSG00000198055,HGNC:4545,GRK6,4,0.937574449,1698.095893,0.005
706,ENSG00000143013,HGNC:6644,LMO4,4,0.934802568,2075.127499,0.005235602
707,ENSG00000037280,HGNC:3767,FLT4,4,0.901658168,565.1646546,0.005
708,ENSG00000169756,HGNC:6616,LIMS1,4,0.856621485,1699.817961,0.005235602
709,ENSG00000196230,HGNC:20778,TUBB,4,0.827878463,22969.14327,0.005
710,ENSG00000088305,HGNC:2979,DNMT3B,4,0.727138788,237.5740446,0.036082474
711,ENSG00000160014,HGNC:1449,CALM3,4,0.674311442,5972.814654,0.025
712,ENSG00000005249,HGNC:9392,PRKAR2B,4,0.673359031,1207.765546,0.005235602
713,ENSG00000018408,HGNC:24042,WWTR1,4,0.66984456,1882.287046,0.005235602
714,ENSG00000184702,HGNC:9164,SEPTIN5,4,0.648476773,871.8003283,0.005235602
715,ENSG00000168487,HGNC:1067,BMP1,4,0.622630178,1368.994078,0.02
716,ENSG00000152291,HGNC:15450,TGOLN2,4,0.612155353,7192.946596,0.005
717,ENSG00000169045,HGNC:5041,HNRNPH1,4,0.591513655,6545.157476,0.005
718,ENSG00000067182,HGNC:11916,TNFRSF1A,4,0.559453128,2608.829222,0.015
719,ENSG00000079385,HGNC:1814,CEACAM1,4,0.548377176,741.1820473,0.005
720,ENSG00000100038,HGNC:11993,TOP3B,4,0.546538117,10.61035155,0.03
721,ENSG00000067606,HGNC:9412,PRKCZ,4,0.523731751,392.3245521,0.005
722,ENSG00000047315,HGNC:9188,POLR2B,4,0.513465831,2175.41467,0.005
723,ENSG00000169967,HGNC:6854,MAP3K2,4,0.511683404,1417.670619,0.020942408
724,ENSG00000142867,HGNC:989,BCL10,4,0.49671862,482.4188975,0.02617801
725,ENSG00000175029,HGNC:2495,CTBP2,4,0.496391453,2381.810274,0.005
726,ENSG00000160691,HGNC:10840,SHC1,4,0.484261013,2960.865929,0.015
727,ENSG00000007047,HGNC:13538,MARK4,4,0.480780337,876.4179913,0.005
728,ENSG00000164111,HGNC:543,ANXA5,4,0.459315371,5754.131765,0.02
